task_id,iteration,eval_step,prop_step,num_samples,num_proposals,score
0,0,0,0,0,0,0.0
0,1,2,1,10,5,0.1173304628632938
0,2,4,2,20,10,0.1390644753476612
0,3,6,3,30,15,1.3325031133250311
0,4,8,4,40,20,1.8032786885245904
0,5,10,5,50,25,1.8032786885245904
0,6,12,6,60,30,1.8032786885245904
0,7,14,7,70,35,1.8032786885245904
0,8,16,8,80,40,1.8032786885245904
0,9,18,9,90,45,1.8032786885245904
0,10,20,10,100,50,1.8032786885245904
1,0,0,0,0,0,0.0
1,1,2,1,10,5,0.0787096774193548
1,2,4,2,20,10,0.0787096774193548
1,3,6,3,30,15,0.0787096774193548
1,4,8,4,40,20,1.0720720720720722
1,5,10,5,50,25,1.0720720720720722
1,6,12,6,60,30,1.0720720720720722
1,7,14,7,70,35,1.0720720720720722
1,8,16,8,80,40,1.0720720720720722
1,9,18,9,90,45,1.0720720720720722
1,10,20,10,100,50,1.0720720720720722
2,0,0,0,0,0,0.0
2,1,2,1,10,5,10.034246575342468
2,2,4,2,20,10,10.034246575342468
2,3,6,3,30,15,10.034246575342468
2,4,8,4,40,20,10.034246575342468
2,5,10,5,50,25,10.034246575342468
2,6,12,6,60,30,10.034246575342468
2,7,14,7,70,35,10.034246575342468
2,8,16,8,80,40,10.034246575342468
2,9,18,9,90,45,10.034246575342468
2,10,20,10,100,50,10.034246575342468
3,0,0,0,0,0,0.0
3,1,2,1,10,5,0.1382198952879581
3,2,4,2,20,10,1.0
3,3,6,3,30,15,1.0038461538461538
3,4,8,4,40,20,1.003875968992248
3,5,10,5,50,25,1.0076628352490422
3,6,12,6,60,30,1.0076628352490422
3,7,14,7,70,35,1.0076628352490422
3,8,16,8,80,40,1.0076628352490422
3,9,18,9,90,45,1.0076628352490422
3,10,20,10,100,50,1.0076628352490422
4,0,0,0,0,0,0.0
4,1,2,1,10,5,0.6091476091476092
4,2,4,2,20,10,0.9702970297029704
4,3,6,3,30,15,0.9702970297029704
4,4,8,4,40,20,0.9966101694915254
4,5,10,5,50,25,1.0
4,6,12,6,60,30,1.0
4,7,14,7,70,35,1.0
4,8,16,8,80,40,1.0
4,9,18,9,90,45,1.0
4,10,20,10,100,50,1.0
5,0,0,0,0,0,0.0
5,1,2,1,10,5,0.0
5,2,4,2,20,10,0.0
5,3,6,3,30,15,0.0
5,4,8,4,40,20,0.0
5,5,10,5,50,25,0.0
5,6,12,6,60,30,0.0
5,7,14,7,70,35,1.0033557046979866
5,8,16,8,80,40,1.0033670033670032
5,9,18,9,90,45,1.0033670033670032
5,10,20,10,100,50,1.0033670033670032
6,0,0,0,0,0,0.0
6,1,2,1,10,5,0.9429657794676808
6,2,4,2,20,10,0.9429657794676808
6,3,6,3,30,15,0.9429657794676808
6,4,8,4,40,20,0.9429657794676808
6,5,10,5,50,25,0.9429657794676808
6,6,12,6,60,30,0.9429657794676808
6,7,14,7,70,35,0.9429657794676808
6,8,16,8,80,40,0.9429657794676808
6,9,18,9,90,45,0.9429657794676808
6,10,20,10,100,50,0.9429657794676808
7,0,0,0,0,0,0.0
7,1,2,1,10,5,0.0352727272727272
7,2,4,2,20,10,0.0352727272727272
7,3,6,3,30,15,0.0352727272727272
7,4,8,4,40,20,0.0352727272727272
7,5,10,5,50,25,0.0352727272727272
7,6,12,6,60,30,0.0352727272727272
7,7,14,7,70,35,0.0352727272727272
7,8,16,8,80,40,0.0352727272727272
7,9,18,9,90,45,0.0352727272727272
7,10,20,10,100,50,0.0352727272727272
8,0,0,0,0,0,0.0
8,1,2,1,10,5,0.0250961538461538
8,2,4,2,20,10,0.0250961538461538
8,3,6,3,30,15,1.0038910505836576
8,4,8,4,40,20,1.0038910505836576
8,5,10,5,50,25,1.0078125
8,6,12,6,60,30,1.0078125
8,7,14,7,70,35,1.0078125
8,8,16,8,80,40,1.0078125
8,9,18,9,90,45,1.0078125
8,10,20,10,100,50,1.0078125
9,0,0,0,0,0,0.0
9,1,2,1,10,5,0.1319587628865979
9,2,4,2,20,10,1.007751937984496
9,3,6,3,30,15,1.007751937984496
9,4,8,4,40,20,2.357142857142857
9,5,10,5,50,25,3.04093567251462
9,6,12,6,60,30,3.05458768873403
9,7,14,7,70,35,3.05458768873403
9,8,16,8,80,40,3.05458768873403
9,9,18,9,90,45,3.05458768873403
9,10,20,10,100,50,3.05458768873403
10,0,0,0,0,0,0.0
10,1,2,1,10,5,0.1237442922374429
10,2,4,2,20,10,0.9368421052631578
10,3,6,3,30,15,0.9368421052631578
10,4,8,4,40,20,0.943661971830986
10,5,10,5,50,25,0.9515570934256056
10,6,12,6,60,30,1.0073529411764706
