task_id,iteration,eval_step,prop_step,num_samples,num_proposals,score
0,0,0,0,0,0,0.0
0,1,1,1,1,1,0.0
0,2,2,2,2,2,0.0
0,3,3,3,3,3,0.0
0,4,4,4,4,4,0.0
0,5,5,5,5,5,0.0
0,6,6,6,6,6,0.0
0,7,7,7,7,7,0.0
0,8,8,8,8,8,0.0
0,9,9,9,9,9,0.0
0,10,10,10,10,10,0.0
0,11,11,11,11,11,0.0
0,12,12,12,12,12,0.0
0,13,13,13,13,13,0.0
0,14,14,14,14,14,0.0
0,15,15,15,15,15,0.0
0,16,16,16,16,16,0.0
0,17,17,17,17,17,0.0
0,18,18,18,18,18,0.0
0,19,19,19,19,19,0.0
0,20,20,20,20,20,0.0
1,0,0,0,0,0,0.0
1,1,1,1,1,1,0.0
1,2,2,2,2,2,0.0
1,3,3,3,3,3,0.0
1,4,4,4,4,4,0.0
1,5,5,5,5,5,0.0
1,6,6,6,6,6,0.1421744324970131
1,7,7,7,7,7,0.1421744324970131
1,8,8,8,8,8,0.1421744324970131
1,9,9,9,9,9,0.1421744324970131
1,10,10,10,10,10,0.1421744324970131
1,11,11,11,11,11,0.1421744324970131
1,12,12,12,12,12,0.1421744324970131
1,13,13,13,13,13,0.1421744324970131
1,14,14,14,14,14,0.1421744324970131
1,15,15,15,15,15,0.1421744324970131
1,16,16,16,16,16,0.1421744324970131
1,17,17,17,17,17,0.1536423841059602
1,18,18,18,18,18,0.983050847457627
1,19,19,19,19,19,0.983050847457627
1,20,20,20,20,20,0.983050847457627
2,0,0,0,0,0,0.0
2,1,1,1,1,1,0.0
2,2,2,2,2,2,0.0
2,3,3,3,3,3,0.0
2,4,4,4,4,4,0.0
2,5,5,5,5,5,0.0
2,6,6,6,6,6,0.0
2,7,7,7,7,7,13.5
2,8,8,8,8,8,13.5
2,9,9,9,9,9,13.5
2,10,10,10,10,10,13.5
2,11,11,11,11,11,13.5
2,12,12,12,12,12,14.341463414634148
2,13,13,13,13,13,14.341463414634148
2,14,14,14,14,14,14.341463414634148
2,15,15,15,15,15,14.341463414634148
2,16,16,16,16,16,14.341463414634148
2,17,17,17,17,17,14.341463414634148
2,18,18,18,18,18,14.341463414634148
2,19,19,19,19,19,14.341463414634148
2,20,20,20,20,20,14.341463414634148
3,0,0,0,0,0,0.0
3,1,1,1,1,1,0.0
3,2,2,2,2,2,0.0
3,3,3,3,3,3,0.0
3,4,4,4,4,4,0.0
3,5,5,5,5,5,0.0
3,6,6,6,6,6,0.0
3,7,7,7,7,7,0.0
3,8,8,8,8,8,0.0
3,9,9,9,9,9,0.0
3,10,10,10,10,10,0.0
3,11,11,11,11,11,0.0
3,12,12,12,12,12,0.0
3,13,13,13,13,13,0.0
3,14,14,14,14,14,0.0
3,15,15,15,15,15,0.0
3,16,16,16,16,16,0.0
3,17,17,17,17,17,0.0
3,18,18,18,18,18,0.0
3,19,19,19,19,19,0.0
3,20,20,20,20,20,0.0
4,0,0,0,0,0,0.0
4,1,1,1,1,1,0.0
4,2,2,2,2,2,0.0
4,3,3,3,3,3,0.0
4,4,4,4,4,4,0.0
4,5,5,5,5,5,0.0
4,6,6,6,6,6,0.0
4,7,7,7,7,7,0.0
4,8,8,8,8,8,0.0
4,9,9,9,9,9,0.0
4,10,10,10,10,10,0.0
4,11,11,11,11,11,0.0
4,12,12,12,12,12,0.0
4,13,13,13,13,13,0.0
4,14,14,14,14,14,0.0
4,15,15,15,15,15,0.0
4,16,16,16,16,16,0.0
4,17,17,17,17,17,0.0
4,18,18,18,18,18,0.0
4,19,19,19,19,19,0.0
4,20,20,20,20,20,0.1972602739726027
5,0,0,0,0,0,0.0
5,1,1,1,1,1,0.0
5,2,2,2,2,2,0.0
5,3,3,3,3,3,0.0
5,4,4,4,4,4,0.0
5,5,5,5,5,5,0.0
5,6,6,6,6,6,0.0
5,7,7,7,7,7,0.0
5,8,8,8,8,8,0.0
5,9,9,9,9,9,0.0
5,10,10,10,10,10,0.0
5,11,11,11,11,11,0.5431192660550459
5,12,12,12,12,12,0.5431192660550459
5,13,13,13,13,13,0.5431192660550459
5,14,14,14,14,14,0.5431192660550459
5,15,15,15,15,15,0.5431192660550459
5,16,16,16,16,16,0.5431192660550459
5,17,17,17,17,17,0.5431192660550459
5,18,18,18,18,18,0.5431192660550459
5,19,19,19,19,19,0.5431192660550459
5,20,20,20,20,20,0.5431192660550459
6,0,0,0,0,0,0.0
6,1,1,1,1,1,0.0875886524822695
6,2,2,2,2,2,0.0875886524822695
6,3,3,3,3,3,0.097265625
6,4,4,4,4,4,0.097265625
6,5,5,5,5,5,0.097265625
6,6,6,6,6,6,0.097265625
6,7,7,7,7,7,0.097265625
6,8,8,8,8,8,0.097265625
6,9,9,9,9,9,0.097265625
6,10,10,10,10,10,0.097265625
6,11,11,11,11,11,0.097265625
6,12,12,12,12,12,0.097265625
6,13,13,13,13,13,0.097265625
6,14,14,14,14,14,0.097265625
6,15,15,15,15,15,0.097265625
6,16,16,16,16,16,0.9429657794676808
6,17,17,17,17,17,0.9429657794676808
6,18,18,18,18,18,0.9429657794676808
6,19,19,19,19,19,0.9431818181818182
6,20,20,20,20,20,0.9431818181818182
7,0,0,0,0,0,0.0
7,1,1,1,1,1,0.0
7,2,2,2,2,2,0.0
7,3,3,3,3,3,0.0
7,4,4,4,4,4,0.0
7,5,5,5,5,5,0.0
7,6,6,6,6,6,0.0
7,7,7,7,7,7,0.0
7,8,8,8,8,8,0.0
7,9,9,9,9,9,0.1327586206896552
7,10,10,10,10,10,0.9699248120300752
7,11,11,11,11,11,0.9699248120300752
7,12,12,12,12,12,0.9699248120300752
7,13,13,13,13,13,0.9699248120300752
7,14,14,14,14,14,0.9699248120300752
7,15,15,15,15,15,0.9699248120300752
7,16,16,16,16,16,0.9699248120300752
7,17,17,17,17,17,0.9699248120300752
7,18,18,18,18,18,0.9699248120300752
7,19,19,19,19,19,0.9699248120300752
7,20,20,20,20,20,0.9699248120300752
8,0,0,0,0,0,0.0
8,1,1,1,1,1,0.0
8,2,2,2,2,2,0.0
8,3,3,3,3,3,0.0
8,4,4,4,4,4,0.0
8,5,5,5,5,5,0.0
8,6,6,6,6,6,0.0
8,7,7,7,7,7,0.0
8,8,8,8,8,8,0.0
8,9,9,9,9,9,0.0
8,10,10,10,10,10,0.0
8,11,11,11,11,11,0.0
8,12,12,12,12,12,0.0
8,13,13,13,13,13,0.9426523297491038
8,14,14,14,14,14,0.9426523297491038
8,15,15,15,15,15,0.9426523297491038
8,16,16,16,16,16,0.9426523297491038
8,17,17,17,17,17,0.9426523297491038
8,18,18,18,18,18,0.9426523297491038
8,19,19,19,19,19,0.9426523297491038
8,20,20,20,20,20,0.9426523297491038
9,0,0,0,0,0,0.0
9,1,1,1,1,1,0.0
9,2,2,2,2,2,0.0
9,3,3,3,3,3,0.1316326530612244
9,4,4,4,4,4,0.1316326530612244
9,5,5,5,5,5,0.1316326530612244
9,6,6,6,6,6,0.1316326530612244
9,7,7,7,7,7,0.1316326530612244
