task_id,iteration,eval_step,prop_step,num_samples,num_proposals,score
0,0,0,0,0,0,0.0
0,1,4,1,4,1,0.5904255319148937
0,2,7,2,7,2,0.7517241379310345
0,3,10,3,10,3,0.8650793650793651
0,4,12,4,12,4,0.8650793650793651
0,5,14,5,14,5,0.8650793650793651
0,6,16,6,16,6,0.8650793650793651
0,7,19,7,19,7,1.0
0,8,21,8,21,8,1.0
0,9,23,9,23,9,1.0
0,10,25,10,25,10,1.0
0,11,27,11,27,11,1.0
1,0,0,0,0,0,0.0
1,1,3,1,3,1,0.0
1,2,6,2,6,2,0.0785714285714285
1,3,9,3,9,3,1.0170940170940173
1,4,12,4,12,4,1.054054054054054
1,5,14,5,14,5,1.0614035087719298
1,6,16,6,16,6,1.099099099099099
1,7,18,7,18,7,1.099099099099099
1,8,21,8,21,8,1.099099099099099
1,9,23,9,23,9,1.099099099099099
1,10,26,10,26,10,1.8389830508474576
2,0,0,0,0,0,0.0
2,1,3,1,3,1,0.0
2,2,5,2,5,2,0.0
2,3,8,3,8,3,13.577981651376149
2,4,11,4,11,4,14.271844660194176
2,5,13,5,13,5,14.271844660194176
2,6,15,6,15,6,14.271844660194176
2,7,17,7,17,7,14.271844660194176
2,8,20,8,20,8,14.271844660194176
2,9,22,9,22,9,14.271844660194176
2,10,24,10,24,10,14.341463414634148
3,0,0,0,0,0,0.0
3,1,3,1,3,1,0.0
3,2,5,2,5,2,0.0
3,3,7,3,7,3,0.0
3,4,9,4,9,4,0.0
3,5,11,5,11,5,0.0
3,6,13,6,13,6,0.0
3,7,15,7,15,7,0.0
3,8,17,8,17,8,0.0
3,9,19,9,19,9,0.0
3,10,22,10,22,10,0.9225352112676056
4,0,0,0,0,0,0.0
4,1,3,1,3,1,0.0
4,2,6,2,6,2,0.5736434108527132
4,3,8,3,8,3,0.5748031496062992
4,4,10,4,10,4,0.5748031496062992
4,5,12,5,12,5,0.5748031496062992
4,6,14,6,14,6,0.5748031496062992
4,7,16,7,16,7,0.5748031496062992
4,8,18,8,18,8,0.5748031496062992
4,9,20,9,20,9,0.5779092702169625
4,10,22,10,22,10,0.5784313725490197
5,0,0,0,0,0,0.0
5,1,3,1,3,1,0.0
5,2,5,2,5,2,0.0
5,3,7,3,7,3,0.0
5,4,9,4,9,4,0.0
5,5,11,5,11,5,0.0
5,6,13,6,13,6,0.0
5,7,15,7,15,7,0.0
5,8,17,8,17,8,0.0
5,9,19,9,19,9,0.0
5,10,21,10,21,10,0.0
6,0,0,0,0,0,0.0
6,1,4,1,4,1,0.946768060836502
6,2,6,2,6,2,0.9471698113207546
6,3,8,3,8,3,0.9471698113207546
6,4,10,4,10,4,0.9471698113207546
6,5,12,5,12,5,0.9471698113207546
6,6,14,6,14,6,0.9471698113207546
6,7,16,7,16,7,0.9471698113207546
6,8,19,8,19,8,1.003952569169961
6,9,21,9,21,9,1.0080645161290325
6,10,23,10,23,10,1.0080645161290325
7,0,0,0,0,0,0.0
7,1,3,1,3,1,0.0
7,2,5,2,5,2,0.0
7,3,7,3,7,3,0.0
7,4,9,4,9,4,0.0
7,5,11,5,11,5,0.0
