task_id,iteration,eval_step,prop_step,num_samples,num_proposals,score
0,0,0,0,0,0,0.0
0,1,1,1,1,1,0.0
0,2,1,1,2,2,0.0
0,3,1,1,3,3,0.0
0,4,1,1,4,4,0.0
0,5,1,1,5,5,0.0
0,6,2,2,6,6,0.0
0,7,2,2,7,7,0.0
0,8,2,2,8,8,0.0
0,9,2,2,9,9,0.0
0,10,2,2,10,10,0.0
0,11,3,3,11,11,0.0
0,12,3,3,12,12,0.0
0,13,3,3,13,13,0.0
0,14,3,3,14,14,0.0
0,15,3,3,15,15,0.0
0,16,4,4,16,16,0.5625000000000001
0,17,4,4,17,17,0.5882352941176471
0,18,4,4,18,18,0.592391304347826
0,19,4,4,19,19,0.592391304347826
0,20,4,4,20,20,0.5925925925925927
0,21,5,5,21,21,0.5925925925925927
0,22,5,5,22,22,0.5925925925925927
0,23,5,5,23,23,0.5978260869565217
0,24,5,5,24,24,0.5978260869565217
0,25,5,5,25,25,0.5978260869565217
0,26,6,6,26,26,0.5978260869565217
0,27,6,6,27,27,0.5978260869565217
0,28,6,6,28,28,0.5978260869565217
0,29,6,6,29,29,0.5978260869565217
0,30,6,6,30,30,0.5978260869565217
0,31,7,7,31,31,0.5978260869565217
0,32,7,7,32,32,0.5978260869565217
0,33,7,7,33,33,0.5978260869565217
0,34,7,7,34,34,0.5978260869565217
0,35,7,7,35,35,0.5978260869565217
0,36,8,8,36,36,0.5978260869565217
0,37,8,8,37,37,0.5978260869565217
0,38,8,8,38,38,0.5978260869565217
0,39,8,8,39,39,0.5978260869565217
0,40,8,8,40,40,0.5978260869565217
0,41,9,9,41,41,0.5978260869565217
0,42,9,9,42,42,0.5978260869565217
0,43,9,9,43,43,0.5978260869565217
0,44,9,9,44,44,0.5978260869565217
0,45,9,9,45,45,0.5978260869565217
0,46,10,10,46,46,0.5978260869565217
0,47,10,10,47,47,0.5978260869565217
0,48,10,10,48,48,0.5978260869565217
0,49,10,10,49,49,0.5978260869565217
0,50,10,10,50,50,0.5978260869565217
1,0,0,0,0,0,0.0
1,1,1,1,1,1,0.0
1,2,1,1,2,2,0.0
1,3,1,1,3,3,0.0
1,4,1,1,4,4,0.0
1,5,1,1,5,5,0.0
1,6,2,2,6,6,0.0
1,7,2,2,7,7,0.0
1,8,2,2,8,8,0.0
1,9,2,2,9,9,0.0
1,10,2,2,10,10,0.0
1,11,3,3,11,11,0.0
1,12,3,3,12,12,0.0
1,13,3,3,13,13,0.0
1,14,3,3,14,14,0.0
1,15,3,3,15,15,1.0170940170940173
1,16,4,4,16,16,1.0170940170940173
1,17,4,4,17,17,1.0170940170940173
1,18,4,4,18,18,1.0170940170940173
1,19,4,4,19,19,1.0170940170940173
1,20,4,4,20,20,1.0170940170940173
1,21,5,5,21,21,1.0170940170940173
1,22,5,5,22,22,1.0170940170940173
1,23,5,5,23,23,1.0170940170940173
1,24,5,5,24,24,1.0170940170940173
1,25,5,5,25,25,1.0170940170940173
1,26,6,6,26,26,1.0170940170940173
1,27,6,6,27,27,1.0170940170940173
1,28,6,6,28,28,1.0170940170940173
1,29,6,6,29,29,1.0170940170940173
1,30,6,6,30,30,1.0170940170940173
1,31,7,7,31,31,1.0170940170940173
1,32,7,7,32,32,1.0170940170940173
1,33,7,7,33,33,1.0170940170940173
1,34,7,7,34,34,1.0170940170940173
1,35,7,7,35,35,1.0170940170940173
1,36,8,8,36,36,1.0170940170940173
1,37,8,8,37,37,1.0170940170940173
1,38,8,8,38,38,1.0170940170940173
1,39,8,8,39,39,1.0170940170940173
1,40,8,8,40,40,1.0170940170940173
1,41,9,9,41,41,1.0170940170940173
1,42,9,9,42,42,1.0170940170940173
1,43,9,9,43,43,1.0170940170940173
1,44,9,9,44,44,1.0825688073394495
1,45,9,9,45,45,1.0825688073394495
1,46,10,10,46,46,1.0825688073394495
1,47,10,10,47,47,1.0825688073394495
1,48,10,10,48,48,1.0825688073394495
1,49,10,10,49,49,1.0825688073394495
1,50,10,10,50,50,1.0825688073394495
1,51,11,11,51,51,1.0825688073394495
2,0,0,0,0,0,0.0
2,1,1,1,1,1,0.0
2,2,1,1,2,2,0.0
2,3,1,1,3,3,0.0
2,4,1,1,4,4,0.0
2,5,1,1,5,5,0.0
2,6,2,2,6,6,0.0
2,7,2,2,7,7,0.0
2,8,2,2,8,8,0.0
2,9,2,2,9,9,0.0
2,10,2,2,10,10,0.0
2,11,3,3,11,11,0.0
2,12,3,3,12,12,0.0
2,13,3,3,13,13,0.0
2,14,3,3,14,14,0.0
2,15,3,3,15,15,0.0
2,16,4,4,16,16,0.0
2,17,4,4,17,17,0.0
2,18,4,4,18,18,8.984615384615385
2,19,4,4,19,19,9.012345679012345
2,20,4,4,20,20,9.012345679012345
2,21,5,5,21,21,9.012345679012345
2,22,5,5,22,22,13.971291866028707
2,23,5,5,23,23,13.971291866028707
2,24,5,5,24,24,13.971291866028707
2,25,5,5,25,25,13.971291866028707
2,26,6,6,26,26,13.971291866028707
2,27,6,6,27,27,13.971291866028707
2,28,6,6,28,28,13.971291866028707
2,29,6,6,29,29,13.971291866028707
2,30,6,6,30,30,13.971291866028707
2,31,7,7,31,31,13.971291866028707
2,32,7,7,32,32,13.971291866028707
2,33,7,7,33,33,13.971291866028707
2,34,7,7,34,34,13.971291866028707
2,35,7,7,35,35,13.971291866028707
2,36,8,8,36,36,13.971291866028707
2,37,8,8,37,37,13.971291866028707
2,38,8,8,38,38,13.971291866028707
2,39,8,8,39,39,13.971291866028707
2,40,8,8,40,40,13.971291866028707
2,41,9,9,41,41,13.971291866028707
2,42,9,9,42,42,13.971291866028707
2,43,9,9,43,43,13.971291866028707
2,44,9,9,44,44,13.971291866028707
2,45,9,9,45,45,13.971291866028707
2,46,10,10,46,46,13.971291866028707
2,47,10,10,47,47,13.971291866028707
2,48,10,10,48,48,13.971291866028707
2,49,10,10,49,49,13.971291866028707
2,50,10,10,50,50,13.971291866028707
3,0,0,0,0,0,0.0
3,1,1,1,1,1,0.0
3,2,1,1,2,2,0.0
3,3,1,1,3,3,0.0
3,4,1,1,4,4,0.0
3,5,1,1,5,5,0.0
3,6,2,2,6,6,0.0
3,7,2,2,7,7,0.0
3,8,2,2,8,8,0.0
3,9,2,2,9,9,0.0
3,10,2,2,10,10,0.0
3,11,3,3,11,11,0.0
3,12,3,3,12,12,0.0
3,13,3,3,13,13,0.0
3,14,3,3,14,14,0.0
3,15,3,3,15,15,0.0
3,16,4,4,16,16,0.0
3,17,4,4,17,17,0.0
3,18,4,4,18,18,0.0
3,19,4,4,19,19,0.0
3,20,4,4,20,20,0.0
3,21,5,5,21,21,0.0
3,22,5,5,22,22,0.0
3,23,5,5,23,23,0.0
3,24,5,5,24,24,0.0
3,25,5,5,25,25,0.0
3,26,6,6,26,26,0.0
3,27,6,6,27,27,0.0
3,28,6,6,28,28,0.0
3,29,6,6,29,29,0.0
3,30,6,6,30,30,0.0
3,31,7,7,31,31,0.0
3,32,7,7,32,32,0.0
3,33,7,7,33,33,0.0
