task_idx,success,best_score,duration_seconds,model
0,True,1.0092592592592593,0.0,unknown
1,True,0.9230769230769231,0.0,unknown
2,True,10.313588850174217,0.0,unknown
3,True,1.003831417624521,0.0,unknown
4,True,1.0033670033670032,0.0,unknown
5,True,0.5471014492753624,0.0,unknown
6,True,1.0079681274900398,0.0,unknown
7,True,0.035454545454545454,0.0,unknown
8,True,1.0037878787878787,0.0,unknown
9,True,0.9241379310344828,0.0,unknown
10,True,0.9423728813559321,0.0,unknown
11,True,1.6919431279620853,0.0,unknown
12,True,1.0050251256281406,0.0,unknown
13,True,1.9522727272727272,0.0,unknown
14,True,0.9603960396039605,0.0,unknown
15,True,1.0,0.0,unknown
